"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSR";"138322.369000"
"1999999";"2500000";"BSR";"52557.119000"
"999999";"1250000";"BSR";"22575.926000"
"499999";"625000";"BSR";"12464.722000"
"249999";"312500";"BSR";"5326.244000"
"124999";"156250";"BSR";"2258.425000"
"62499";"78125";"BSR";"1429.728000"
"31249";"39062";"BSR";"336.770000"
"15625";"19531";"BSR";"142.749000"
"7813";"9765";"BSR";"68.589000"
"3907";"4882";"BSR";"31.208000"
"1953";"2441";"BSR";"15.066000"
"977";"1220";"BSR";"7.213000"
"489";"610";"BSR";"3.442000"
"245";"305";"BSR";"1.733000"
"123";"152";"BSR";"0.895000"
"61";"76";"BSR";"0.474000"
"31";"38";"BSR";"0.266000"
"15";"19";"BSR";"0.168000"
"7";"9";"BSR";"0.091000"
"3";"4";"BSR";"0.079000"
"1";"2";"BSR";"0.069000"
"1";"1";"BSR";"0.064000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSR";"123669.265000"
"1999999";"2500000";"BSR";"44144.295000"
"999999";"1250000";"BSR";"21669.308000"
"499999";"625000";"BSR";"10081.638000"
"249999";"312500";"BSR";"4844.489000"
"124999";"156250";"BSR";"1708.421000"
"62499";"78125";"BSR";"601.912000"
"31249";"39062";"BSR";"250.618000"
"15625";"19531";"BSR";"119.475000"
"7813";"9765";"BSR";"58.507000"
"3907";"4882";"BSR";"32.039000"
"1953";"2441";"BSR";"13.242000"
"977";"1220";"BSR";"6.454000"
"489";"610";"BSR";"3.102000"
"245";"305";"BSR";"1.565000"
"123";"152";"BSR";"0.810000"
"61";"76";"BSR";"0.426000"
"31";"38";"BSR";"0.240000"
"15";"19";"BSR";"0.146000"
"7";"9";"BSR";"0.077000"
"3";"4";"BSR";"0.068000"
"1";"2";"BSR";"0.051000"
"1";"1";"BSR";"0.061000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSR";"123326.142000"
"1999999";"2500000";"BSR";"44204.706000"
"999999";"1250000";"BSR";"21567.787000"
"499999";"625000";"BSR";"10054.613000"
"249999";"312500";"BSR";"4503.090000"
"124999";"156250";"BSR";"2084.409000"
"62499";"78125";"BSR";"592.087000"
"31249";"39062";"BSR";"249.092000"
"15625";"19531";"BSR";"157.342000"
"7813";"9765";"BSR";"58.241000"
"3907";"4882";"BSR";"27.599000"
"1953";"2441";"BSR";"13.234000"
"977";"1220";"BSR";"6.462000"
"489";"610";"BSR";"3.099000"
"245";"305";"BSR";"1.565000"
"123";"152";"BSR";"0.809000"
"61";"76";"BSR";"0.431000"
"31";"38";"BSR";"0.239000"
"15";"19";"BSR";"0.144000"
"7";"9";"BSR";"0.081000"
"3";"4";"BSR";"0.060000"
"1";"2";"BSR";"0.052000"
"1";"1";"BSR";"0.053000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSR";"123097.259000"
"1999999";"2500000";"BSR";"44126.963000"
"999999";"1250000";"BSR";"21530.370000"
"499999";"625000";"BSR";"10462.306000"
"249999";"312500";"BSR";"4525.729000"
"124999";"156250";"BSR";"1814.158000"
"62499";"78125";"BSR";"649.796000"
"31249";"39062";"BSR";"247.723000"
"15625";"19531";"BSR";"119.548000"
"7813";"9765";"BSR";"58.236000"
"3907";"4882";"BSR";"27.442000"
"1953";"2441";"BSR";"13.192000"
"977";"1220";"BSR";"6.463000"
"489";"610";"BSR";"3.108000"
"245";"305";"BSR";"1.565000"
"123";"152";"BSR";"0.804000"
"61";"76";"BSR";"0.430000"
"31";"38";"BSR";"0.237000"
"15";"19";"BSR";"0.141000"
"7";"9";"BSR";"0.080000"
"3";"4";"BSR";"0.072000"
"1";"2";"BSR";"0.050000"
"1";"1";"BSR";"0.055000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSR";"123227.127000"
"1999999";"2500000";"BSR";"44414.542000"
"999999";"1250000";"BSR";"21414.786000"
"499999";"625000";"BSR";"10367.137000"
"249999";"312500";"BSR";"4281.694000"
"124999";"156250";"BSR";"2037.551000"
"62499";"78125";"BSR";"757.308000"
"31249";"39062";"BSR";"257.607000"
"15625";"19531";"BSR";"121.840000"
"7813";"9765";"BSR";"59.150000"
"3907";"4882";"BSR";"27.277000"
"1953";"2441";"BSR";"13.224000"
"977";"1220";"BSR";"6.494000"
"489";"610";"BSR";"3.097000"
"245";"305";"BSR";"1.563000"
"123";"152";"BSR";"0.807000"
"61";"76";"BSR";"0.431000"
"31";"38";"BSR";"0.237000"
"15";"19";"BSR";"0.152000"
"7";"9";"BSR";"0.091000"
"3";"4";"BSR";"0.068000"
"1";"2";"BSR";"0.052000"
"1";"1";"BSR";"0.056000"
