"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTI";"1.482000"
"1999999";"2500000";"BTI";"0.930000"
"999999";"1250000";"BTI";"0.743000"
"499999";"625000";"BTI";"0.648000"
"249999";"312500";"BTI";"0.540000"
"124999";"156250";"BTI";"0.462000"
"62499";"78125";"BTI";"0.553000"
"31249";"39062";"BTI";"0.339000"
"15625";"19531";"BTI";"0.351000"
"7813";"9765";"BTI";"0.280000"
"3907";"4882";"BTI";"0.260000"
"1953";"2441";"BTI";"0.220000"
"977";"1220";"BTI";"0.185000"
"489";"610";"BTI";"0.157000"
"245";"305";"BTI";"0.151000"
"123";"152";"BTI";"0.111000"
"61";"76";"BTI";"0.111000"
"31";"38";"BTI";"0.110000"
"15";"19";"BTI";"0.066000"
"7";"9";"BTI";"0.071000"
"3";"4";"BTI";"0.050000"
"1";"2";"BTI";"0.084000"
"1";"1";"BTI";"0.055000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTI";"1.764000"
"1999999";"2500000";"BTI";"0.816000"
"999999";"1250000";"BTI";"0.672000"
"499999";"625000";"BTI";"0.702000"
"249999";"312500";"BTI";"0.566000"
"124999";"156250";"BTI";"0.524000"
"62499";"78125";"BTI";"0.435000"
"31249";"39062";"BTI";"0.304000"
"15625";"19531";"BTI";"0.370000"
"7813";"9765";"BTI";"0.255000"
"3907";"4882";"BTI";"0.271000"
"1953";"2441";"BTI";"0.234000"
"977";"1220";"BTI";"0.223000"
"489";"610";"BTI";"0.158000"
"245";"305";"BTI";"0.173000"
"123";"152";"BTI";"0.113000"
"61";"76";"BTI";"0.106000"
"31";"38";"BTI";"0.099000"
"15";"19";"BTI";"0.079000"
"7";"9";"BTI";"0.066000"
"3";"4";"BTI";"0.043000"
"1";"2";"BTI";"0.082000"
"1";"1";"BTI";"0.053000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTI";"1.758000"
"1999999";"2500000";"BTI";"1.836000"
"999999";"1250000";"BTI";"1.455000"
"499999";"625000";"BTI";"0.604000"
"249999";"312500";"BTI";"0.584000"
"124999";"156250";"BTI";"0.511000"
"62499";"78125";"BTI";"0.424000"
"31249";"39062";"BTI";"0.352000"
"15625";"19531";"BTI";"0.881000"
"7813";"9765";"BTI";"0.221000"
"3907";"4882";"BTI";"0.288000"
"1953";"2441";"BTI";"0.242000"
"977";"1220";"BTI";"0.916000"
"489";"610";"BTI";"0.152000"
"245";"305";"BTI";"0.170000"
"123";"152";"BTI";"0.179000"
"61";"76";"BTI";"0.108000"
"31";"38";"BTI";"0.121000"
"15";"19";"BTI";"0.090000"
"7";"9";"BTI";"0.078000"
"3";"4";"BTI";"0.059000"
"1";"2";"BTI";"0.068000"
"1";"1";"BTI";"0.052000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTI";"1.429000"
"1999999";"2500000";"BTI";"1.130000"
"999999";"1250000";"BTI";"0.698000"
"499999";"625000";"BTI";"0.605000"
"249999";"312500";"BTI";"0.566000"
"124999";"156250";"BTI";"0.531000"
"62499";"78125";"BTI";"0.391000"
"31249";"39062";"BTI";"0.446000"
"15625";"19531";"BTI";"0.357000"
"7813";"9765";"BTI";"0.230000"
"3907";"4882";"BTI";"0.263000"
"1953";"2441";"BTI";"0.219000"
"977";"1220";"BTI";"0.226000"
"489";"610";"BTI";"0.129000"
"245";"305";"BTI";"0.145000"
"123";"152";"BTI";"0.111000"
"61";"76";"BTI";"0.112000"
"31";"38";"BTI";"0.100000"
"15";"19";"BTI";"0.069000"
"7";"9";"BTI";"0.064000"
"3";"4";"BTI";"0.052000"
"1";"2";"BTI";"0.071000"
"1";"1";"BTI";"0.064000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTI";"1.533000"
"1999999";"2500000";"BTI";"0.840000"
"999999";"1250000";"BTI";"0.709000"
"499999";"625000";"BTI";"0.451000"
"249999";"312500";"BTI";"0.516000"
"124999";"156250";"BTI";"1.067000"
"62499";"78125";"BTI";"0.331000"
"31249";"39062";"BTI";"0.337000"
"15625";"19531";"BTI";"0.371000"
"7813";"9765";"BTI";"0.297000"
"3907";"4882";"BTI";"0.368000"
"1953";"2441";"BTI";"0.323000"
"977";"1220";"BTI";"0.198000"
"489";"610";"BTI";"0.141000"
"245";"305";"BTI";"0.157000"
"123";"152";"BTI";"0.110000"
"61";"76";"BTI";"0.220000"
"31";"38";"BTI";"0.108000"
"15";"19";"BTI";"0.085000"
"7";"9";"BTI";"0.085000"
"3";"4";"BTI";"0.054000"
"1";"2";"BTI";"0.083000"
"1";"1";"BTI";"0.072000"
