"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTR";"1.848000"
"1999999";"2500000";"BTR";"1.120000"
"999999";"1250000";"BTR";"0.939000"
"499999";"625000";"BTR";"0.903000"
"249999";"312500";"BTR";"0.585000"
"124999";"156250";"BTR";"0.685000"
"62499";"78125";"BTR";"0.454000"
"31249";"39062";"BTR";"0.635000"
"15625";"19531";"BTR";"0.391000"
"7813";"9765";"BTR";"0.315000"
"3907";"4882";"BTR";"0.307000"
"1953";"2441";"BTR";"0.405000"
"977";"1220";"BTR";"0.261000"
"489";"610";"BTR";"0.166000"
"245";"305";"BTR";"0.179000"
"123";"152";"BTR";"0.139000"
"61";"76";"BTR";"0.143000"
"31";"38";"BTR";"0.119000"
"15";"19";"BTR";"0.078000"
"7";"9";"BTR";"0.079000"
"3";"4";"BTR";"0.054000"
"1";"2";"BTR";"0.088000"
"1";"1";"BTR";"0.076000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTR";"1.774000"
"1999999";"2500000";"BTR";"1.044000"
"999999";"1250000";"BTR";"0.868000"
"499999";"625000";"BTR";"0.719000"
"249999";"312500";"BTR";"0.616000"
"124999";"156250";"BTR";"0.695000"
"62499";"78125";"BTR";"0.546000"
"31249";"39062";"BTR";"0.390000"
"15625";"19531";"BTR";"0.387000"
"7813";"9765";"BTR";"0.340000"
"3907";"4882";"BTR";"0.325000"
"1953";"2441";"BTR";"0.245000"
"977";"1220";"BTR";"0.246000"
"489";"610";"BTR";"0.259000"
"245";"305";"BTR";"0.178000"
"123";"152";"BTR";"0.132000"
"61";"76";"BTR";"0.149000"
"31";"38";"BTR";"0.178000"
"15";"19";"BTR";"0.126000"
"7";"9";"BTR";"0.081000"
"3";"4";"BTR";"0.052000"
"1";"2";"BTR";"0.097000"
"1";"1";"BTR";"0.065000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTR";"1.516000"
"1999999";"2500000";"BTR";"0.879000"
"999999";"1250000";"BTR";"0.999000"
"499999";"625000";"BTR";"0.811000"
"249999";"312500";"BTR";"0.566000"
"124999";"156250";"BTR";"0.661000"
"62499";"78125";"BTR";"0.436000"
"31249";"39062";"BTR";"0.529000"
"15625";"19531";"BTR";"0.313000"
"7813";"9765";"BTR";"0.371000"
"3907";"4882";"BTR";"0.308000"
"1953";"2441";"BTR";"0.363000"
"977";"1220";"BTR";"0.250000"
"489";"610";"BTR";"0.184000"
"245";"305";"BTR";"0.190000"
"123";"152";"BTR";"0.131000"
"61";"76";"BTR";"0.143000"
"31";"38";"BTR";"0.136000"
"15";"19";"BTR";"0.080000"
"7";"9";"BTR";"0.071000"
"3";"4";"BTR";"0.055000"
"1";"2";"BTR";"0.097000"
"1";"1";"BTR";"0.057000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTR";"2.277000"
"1999999";"2500000";"BTR";"1.776000"
"999999";"1250000";"BTR";"0.946000"
"499999";"625000";"BTR";"0.880000"
"249999";"312500";"BTR";"1.047000"
"124999";"156250";"BTR";"0.649000"
"62499";"78125";"BTR";"1.118000"
"31249";"39062";"BTR";"0.458000"
"15625";"19531";"BTR";"0.362000"
"7813";"9765";"BTR";"0.410000"
"3907";"4882";"BTR";"0.308000"
"1953";"2441";"BTR";"0.247000"
"977";"1220";"BTR";"0.262000"
"489";"610";"BTR";"0.166000"
"245";"305";"BTR";"0.199000"
"123";"152";"BTR";"0.134000"
"61";"76";"BTR";"0.150000"
"31";"38";"BTR";"0.120000"
"15";"19";"BTR";"0.081000"
"7";"9";"BTR";"0.079000"
"3";"4";"BTR";"0.053000"
"1";"2";"BTR";"0.108000"
"1";"1";"BTR";"0.067000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BTR";"1.743000"
"1999999";"2500000";"BTR";"1.182000"
"999999";"1250000";"BTR";"1.230000"
"499999";"625000";"BTR";"0.735000"
"249999";"312500";"BTR";"0.667000"
"124999";"156250";"BTR";"0.767000"
"62499";"78125";"BTR";"0.573000"
"31249";"39062";"BTR";"0.520000"
"15625";"19531";"BTR";"0.443000"
"7813";"9765";"BTR";"0.389000"
"3907";"4882";"BTR";"0.272000"
"1953";"2441";"BTR";"0.282000"
"977";"1220";"BTR";"0.260000"
"489";"610";"BTR";"0.163000"
"245";"305";"BTR";"0.198000"
"123";"152";"BTR";"0.132000"
"61";"76";"BTR";"0.148000"
"31";"38";"BTR";"0.133000"
"15";"19";"BTR";"0.083000"
"7";"9";"BTR";"0.071000"
"3";"4";"BTR";"0.054000"
"1";"2";"BTR";"0.100000"
"1";"1";"BTR";"0.055000"
