"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBI";"1.919000"
"2000000";"2500000";"BBI";"0.736000"
"1000000";"1250000";"BBI";"0.650000"
"500000";"625000";"BBI";"0.461000"
"250000";"312500";"BBI";"0.482000"
"125000";"156250";"BBI";"0.359000"
"62500";"78125";"BBI";"0.367000"
"31250";"39062";"BBI";"0.297000"
"15626";"19531";"BBI";"0.221000"
"7814";"9765";"BBI";"0.274000"
"3908";"4882";"BBI";"0.400000"
"1954";"2441";"BBI";"0.145000"
"978";"1220";"BBI";"0.149000"
"490";"610";"BBI";"0.184000"
"246";"305";"BBI";"0.176000"
"124";"152";"BBI";"0.124000"
"62";"76";"BBI";"0.281000"
"32";"38";"BBI";"0.092000"
"16";"19";"BBI";"0.069000"
"8";"9";"BBI";"0.062000"
"4";"4";"BBI";"0.060000"
"2";"2";"BBI";"0.035000"
"0";"1";"BBI";"0.042000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBI";"2.013000"
"2000000";"2500000";"BBI";"0.994000"
"1000000";"1250000";"BBI";"0.744000"
"500000";"625000";"BBI";"0.529000"
"250000";"312500";"BBI";"0.500000"
"125000";"156250";"BBI";"0.437000"
"62500";"78125";"BBI";"0.373000"
"31250";"39062";"BBI";"0.374000"
"15626";"19531";"BBI";"0.198000"
"7814";"9765";"BBI";"0.209000"
"3908";"4882";"BBI";"0.255000"
"1954";"2441";"BBI";"0.237000"
"978";"1220";"BBI";"0.145000"
"490";"610";"BBI";"0.169000"
"246";"305";"BBI";"0.165000"
"124";"152";"BBI";"0.110000"
"62";"76";"BBI";"0.109000"
"32";"38";"BBI";"0.092000"
"16";"19";"BBI";"0.056000"
"8";"9";"BBI";"0.070000"
"4";"4";"BBI";"0.069000"
"2";"2";"BBI";"0.036000"
"0";"1";"BBI";"0.032000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBI";"2.538000"
"2000000";"2500000";"BBI";"0.956000"
"1000000";"1250000";"BBI";"0.738000"
"500000";"625000";"BBI";"0.456000"
"250000";"312500";"BBI";"0.446000"
"125000";"156250";"BBI";"0.371000"
"62500";"78125";"BBI";"0.411000"
"31250";"39062";"BBI";"0.318000"
"15626";"19531";"BBI";"0.286000"
"7814";"9765";"BBI";"0.222000"
"3908";"4882";"BBI";"0.223000"
"1954";"2441";"BBI";"0.185000"
"978";"1220";"BBI";"0.146000"
"490";"610";"BBI";"0.158000"
"246";"305";"BBI";"0.412000"
"124";"152";"BBI";"0.111000"
"62";"76";"BBI";"0.111000"
"32";"38";"BBI";"0.089000"
"16";"19";"BBI";"0.065000"
"8";"9";"BBI";"0.060000"
"4";"4";"BBI";"0.060000"
"2";"2";"BBI";"0.036000"
"0";"1";"BBI";"0.050000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBI";"1.825000"
"2000000";"2500000";"BBI";"0.662000"
"1000000";"1250000";"BBI";"0.495000"
"500000";"625000";"BBI";"0.527000"
"250000";"312500";"BBI";"0.548000"
"125000";"156250";"BBI";"0.399000"
"62500";"78125";"BBI";"0.382000"
"31250";"39062";"BBI";"0.349000"
"15626";"19531";"BBI";"0.233000"
"7814";"9765";"BBI";"0.227000"
"3908";"4882";"BBI";"0.263000"
"1954";"2441";"BBI";"0.217000"
"978";"1220";"BBI";"0.150000"
"490";"610";"BBI";"0.158000"
"246";"305";"BBI";"0.157000"
"124";"152";"BBI";"0.114000"
"62";"76";"BBI";"0.109000"
"32";"38";"BBI";"0.081000"
"16";"19";"BBI";"0.064000"
"8";"9";"BBI";"0.059000"
"4";"4";"BBI";"0.059000"
"2";"2";"BBI";"0.034000"
"0";"1";"BBI";"0.047000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBI";"1.879000"
"2000000";"2500000";"BBI";"1.112000"
"1000000";"1250000";"BBI";"0.532000"
"500000";"625000";"BBI";"0.441000"
"250000";"312500";"BBI";"0.430000"
"125000";"156250";"BBI";"0.370000"
"62500";"78125";"BBI";"0.351000"
"31250";"39062";"BBI";"0.280000"
"15626";"19531";"BBI";"0.355000"
"7814";"9765";"BBI";"0.237000"
"3908";"4882";"BBI";"0.235000"
"1954";"2441";"BBI";"0.232000"
"978";"1220";"BBI";"0.148000"
"490";"610";"BBI";"0.154000"
"246";"305";"BBI";"0.160000"
"124";"152";"BBI";"0.113000"
"62";"76";"BBI";"0.125000"
"32";"38";"BBI";"0.101000"
"16";"19";"BBI";"0.054000"
"8";"9";"BBI";"0.060000"
"4";"4";"BBI";"0.078000"
"2";"2";"BBI";"0.036000"
"0";"1";"BBI";"0.051000"
