"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBR";"1.849000"
"2000000";"2500000";"BBR";"1.092000"
"1000000";"1250000";"BBR";"0.682000"
"500000";"625000";"BBR";"0.792000"
"250000";"312500";"BBR";"0.522000"
"125000";"156250";"BBR";"0.543000"
"62500";"78125";"BBR";"0.505000"
"31250";"39062";"BBR";"0.342000"
"15626";"19531";"BBR";"0.241000"
"7814";"9765";"BBR";"0.382000"
"3908";"4882";"BBR";"0.257000"
"1954";"2441";"BBR";"0.261000"
"978";"1220";"BBR";"0.193000"
"490";"610";"BBR";"0.209000"
"246";"305";"BBR";"0.201000"
"124";"152";"BBR";"0.120000"
"62";"76";"BBR";"0.135000"
"32";"38";"BBR";"0.083000"
"16";"19";"BBR";"0.070000"
"8";"9";"BBR";"0.041000"
"4";"4";"BBR";"0.093000"
"2";"2";"BBR";"0.037000"
"0";"1";"BBR";"0.030000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBR";"1.911000"
"2000000";"2500000";"BBR";"0.895000"
"1000000";"1250000";"BBR";"0.663000"
"500000";"625000";"BBR";"0.915000"
"250000";"312500";"BBR";"0.696000"
"125000";"156250";"BBR";"0.726000"
"62500";"78125";"BBR";"0.404000"
"31250";"39062";"BBR";"0.349000"
"15626";"19531";"BBR";"0.242000"
"7814";"9765";"BBR";"0.403000"
"3908";"4882";"BBR";"0.252000"
"1954";"2441";"BBR";"0.225000"
"978";"1220";"BBR";"0.201000"
"490";"610";"BBR";"0.168000"
"246";"305";"BBR";"0.164000"
"124";"152";"BBR";"0.119000"
"62";"76";"BBR";"0.135000"
"32";"38";"BBR";"0.089000"
"16";"19";"BBR";"0.072000"
"8";"9";"BBR";"0.053000"
"4";"4";"BBR";"0.086000"
"2";"2";"BBR";"0.035000"
"0";"1";"BBR";"0.043000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBR";"1.577000"
"2000000";"2500000";"BBR";"0.821000"
"1000000";"1250000";"BBR";"0.771000"
"500000";"625000";"BBR";"0.773000"
"250000";"312500";"BBR";"0.535000"
"125000";"156250";"BBR";"0.584000"
"62500";"78125";"BBR";"0.494000"
"31250";"39062";"BBR";"0.376000"
"15626";"19531";"BBR";"0.296000"
"7814";"9765";"BBR";"0.291000"
"3908";"4882";"BBR";"0.274000"
"1954";"2441";"BBR";"0.228000"
"978";"1220";"BBR";"0.200000"
"490";"610";"BBR";"0.200000"
"246";"305";"BBR";"0.190000"
"124";"152";"BBR";"0.117000"
"62";"76";"BBR";"0.177000"
"32";"38";"BBR";"0.086000"
"16";"19";"BBR";"0.059000"
"8";"9";"BBR";"0.054000"
"4";"4";"BBR";"0.090000"
"2";"2";"BBR";"0.037000"
"0";"1";"BBR";"0.051000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBR";"1.726000"
"2000000";"2500000";"BBR";"1.313000"
"1000000";"1250000";"BBR";"0.700000"
"500000";"625000";"BBR";"0.632000"
"250000";"312500";"BBR";"0.538000"
"125000";"156250";"BBR";"0.453000"
"62500";"78125";"BBR";"0.531000"
"31250";"39062";"BBR";"0.365000"
"15626";"19531";"BBR";"0.270000"
"7814";"9765";"BBR";"0.250000"
"3908";"4882";"BBR";"0.239000"
"1954";"2441";"BBR";"0.204000"
"978";"1220";"BBR";"0.231000"
"490";"610";"BBR";"0.175000"
"246";"305";"BBR";"0.191000"
"124";"152";"BBR";"0.218000"
"62";"76";"BBR";"0.149000"
"32";"38";"BBR";"0.074000"
"16";"19";"BBR";"0.056000"
"8";"9";"BBR";"0.057000"
"4";"4";"BBR";"0.100000"
"2";"2";"BBR";"0.037000"
"0";"1";"BBR";"0.051000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BBR";"1.672000"
"2000000";"2500000";"BBR";"1.205000"
"1000000";"1250000";"BBR";"0.538000"
"500000";"625000";"BBR";"0.483000"
"250000";"312500";"BBR";"0.442000"
"125000";"156250";"BBR";"0.436000"
"62500";"78125";"BBR";"0.365000"
"31250";"39062";"BBR";"0.326000"
"15626";"19531";"BBR";"0.297000"
"7814";"9765";"BBR";"0.312000"
"3908";"4882";"BBR";"0.287000"
"1954";"2441";"BBR";"0.227000"
"978";"1220";"BBR";"0.198000"
"490";"610";"BBR";"0.178000"
"246";"305";"BBR";"0.186000"
"124";"152";"BBR";"0.119000"
"62";"76";"BBR";"0.218000"
"32";"38";"BBR";"0.090000"
"16";"19";"BBR";"0.058000"
"8";"9";"BBR";"0.043000"
"4";"4";"BBR";"0.089000"
"2";"2";"BBR";"0.035000"
"0";"1";"BBR";"0.042000"
