"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSI";"6690.085000"
"2000000";"2500000";"BSI";"4577.024000"
"1000000";"1250000";"BSI";"1995.682000"
"500000";"625000";"BSI";"826.636000"
"250000";"312500";"BSI";"398.004000"
"125000";"156250";"BSI";"168.957000"
"62500";"78125";"BSI";"85.623000"
"31250";"39062";"BSI";"43.740000"
"15626";"19531";"BSI";"21.429000"
"7814";"9765";"BSI";"14.075000"
"3908";"4882";"BSI";"5.324000"
"1954";"2441";"BSI";"2.676000"
"978";"1220";"BSI";"1.354000"
"490";"610";"BSI";"0.701000"
"246";"305";"BSI";"0.370000"
"124";"152";"BSI";"0.204000"
"62";"76";"BSI";"0.122000"
"32";"38";"BSI";"0.084000"
"16";"19";"BSI";"0.060000"
"8";"9";"BSI";"0.053000"
"4";"4";"BSI";"0.050000"
"2";"2";"BSI";"0.059000"
"0";"1";"BSI";"0.056000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSI";"5698.577000"
"2000000";"2500000";"BSI";"3649.042000"
"1000000";"1250000";"BSI";"2423.724000"
"500000";"625000";"BSI";"1145.370000"
"250000";"312500";"BSI";"443.628000"
"125000";"156250";"BSI";"193.760000"
"62500";"78125";"BSI";"97.778000"
"31250";"39062";"BSI";"48.023000"
"15626";"19531";"BSI";"23.506000"
"7814";"9765";"BSI";"11.937000"
"3908";"4882";"BSI";"5.880000"
"1954";"2441";"BSI";"3.146000"
"978";"1220";"BSI";"1.510000"
"490";"610";"BSI";"0.791000"
"246";"305";"BSI";"0.408000"
"124";"152";"BSI";"0.233000"
"62";"76";"BSI";"0.135000"
"32";"38";"BSI";"0.089000"
"16";"19";"BSI";"0.062000"
"8";"9";"BSI";"0.051000"
"4";"4";"BSI";"0.193000"
"2";"2";"BSI";"0.052000"
"0";"1";"BSI";"0.049000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSI";"6658.434000"
"2000000";"2500000";"BSI";"3053.942000"
"1000000";"1250000";"BSI";"2487.288000"
"500000";"625000";"BSI";"897.754000"
"250000";"312500";"BSI";"427.289000"
"125000";"156250";"BSI";"185.978000"
"62500";"78125";"BSI";"90.330000"
"31250";"39062";"BSI";"42.936000"
"15626";"19531";"BSI";"21.160000"
"7814";"9765";"BSI";"11.005000"
"3908";"4882";"BSI";"5.312000"
"1954";"2441";"BSI";"2.783000"
"978";"1220";"BSI";"1.401000"
"490";"610";"BSI";"0.701000"
"246";"305";"BSI";"0.370000"
"124";"152";"BSI";"0.205000"
"62";"76";"BSI";"0.123000"
"32";"38";"BSI";"0.261000"
"16";"19";"BSI";"0.070000"
"8";"9";"BSI";"0.048000"
"4";"4";"BSI";"0.099000"
"2";"2";"BSI";"0.049000"
"0";"1";"BSI";"0.173000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSI";"6046.863000"
"2000000";"2500000";"BSI";"4434.329000"
"1000000";"1250000";"BSI";"2070.948000"
"500000";"625000";"BSI";"979.797000"
"250000";"312500";"BSI";"445.701000"
"125000";"156250";"BSI";"240.085000"
"62500";"78125";"BSI";"88.532000"
"31250";"39062";"BSI";"42.277000"
"15626";"19531";"BSI";"21.140000"
"7814";"9765";"BSI";"11.048000"
"3908";"4882";"BSI";"5.311000"
"1954";"2441";"BSI";"2.673000"
"978";"1220";"BSI";"1.358000"
"490";"610";"BSI";"0.698000"
"246";"305";"BSI";"0.370000"
"124";"152";"BSI";"0.206000"
"62";"76";"BSI";"0.124000"
"32";"38";"BSI";"0.081000"
"16";"19";"BSI";"0.069000"
"8";"9";"BSI";"0.049000"
"4";"4";"BSI";"0.053000"
"2";"2";"BSI";"0.059000"
"0";"1";"BSI";"0.055000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSI";"6148.535000"
"2000000";"2500000";"BSI";"2847.159000"
"1000000";"1250000";"BSI";"1402.880000"
"500000";"625000";"BSI";"686.533000"
"250000";"312500";"BSI";"350.191000"
"125000";"156250";"BSI";"171.123000"
"62500";"78125";"BSI";"87.521000"
"31250";"39062";"BSI";"42.280000"
"15626";"19531";"BSI";"21.166000"
"7814";"9765";"BSI";"10.734000"
"3908";"4882";"BSI";"5.312000"
"1954";"2441";"BSI";"2.715000"
"978";"1220";"BSI";"1.351000"
"490";"610";"BSI";"0.701000"
"246";"305";"BSI";"0.370000"
"124";"152";"BSI";"0.209000"
"62";"76";"BSI";"0.122000"
"32";"38";"BSI";"0.083000"
"16";"19";"BSI";"0.078000"
"8";"9";"BSI";"0.049000"
"4";"4";"BSI";"0.053000"
"2";"2";"BSI";"0.049000"
"0";"1";"BSI";"0.050000"
